pyramid_t80_a110.0_b2.25,,,,,,,,,
Summary,raw,quality,coverage,comprehension,,,Raw-manual,,0.258140513
D0608.M.250.H.10,19,0.527777778,0.223529412,0.375653595,,,25,,
D0608.M.250.H.25,11,0.55,0.129411765,0.339705882,,,7,,
D0608.M.250.H.24,18,0.5,0.211764706,0.355882353,,,7,,
D0608.M.250.H.5,22,0.55,0.258823529,0.404411765,,,13,,
D0608.M.250.H.28,19,0.791666667,0.223529412,0.507598039,,,4,,
D0608.M.250.H.27,17,0.607142857,0.2,0.403571429,,,19,,
D0608.M.250.H.1,7,0.4375,0.082352941,0.259926471,,,13,,
D0608.M.250.H.35,12,0.428571429,0.141176471,0.28487395,,,16,,
D0608.M.250.H.23,23,0.638888889,0.270588235,0.454738562,,,13,,
D0608.M.250.H.2,18,0.642857143,0.211764706,0.427310924,,,16,,
D0608.M.250.H.29,14,0.388888889,0.164705882,0.276797386,,,7,,
D0608.M.250.H.22,16,0.571428571,0.188235294,0.379831933,,,4,,
D0608.M.250.H.33,13,0.541666667,0.152941176,0.347303922,,,7,,
D0608.M.250.H.19,12,0.6,0.141176471,0.370588235,,,10,,
D0608.M.250.H.6,12,0.6,0.141176471,0.370588235,,,10,,
D0608.M.250.H.18,3,0.75,0.035294118,0.392647059,,,4,,
pyramid_t80_a100.0_b2.0,,,,,,,,,
Summary,raw,quality,coverage,comprehension,,,,,
D0608.M.250.H.3,12,0.5,0.148148148,0.324074074,,,16,0.277914759,
D0608.M.250.H.14,21,0.75,0.259259259,0.50462963,,,10,,
D0608.M.250.H.17,7,0.4375,0.086419753,0.261959877,,,7,,
D0608.M.250.H.10,18,0.5625,0.222222222,0.392361111,,,25,,
D0608.M.250.H.25,9,0.75,0.111111111,0.430555556,,,7,,
D0608.M.250.H.24,20,0.555555556,0.24691358,0.401234568,,,7,,
D0608.M.250.H.5,22,0.55,0.271604938,0.410802469,,,13,,
D0608.M.250.H.28,15,0.625,0.185185185,0.405092593,,,4,,
D0608.M.250.H.27,16,0.571428571,0.197530864,0.384479718,,,19,,
D0608.M.250.H.1,11,0.458333333,0.135802469,0.297067901,,,13,,
D0608.M.250.H.35,13,0.541666667,0.160493827,0.351080247,,,16,,
D0608.M.250.H.23,22,0.55,0.271604938,0.410802469,,,13,,
D0608.M.250.H.2,19,0.678571429,0.234567901,0.456569665,,,16,,
D0608.M.250.H.29,12,0.375,0.148148148,0.261574074,,,7,,
D0608.M.250.H.22,21,0.875,0.259259259,0.56712963,,,4,,
D0608.M.250.H.33,11,0.6875,0.135802469,0.411651235,,,7,,
D0608.M.250.H.19,13,0.8125,0.160493827,0.486496914,,,10,,
D0608.M.250.H.6,12,0.6,0.148148148,0.374074074,,,10,,
D0608.M.250.H.18,7,0.583333333,0.086419753,0.334876543,,,4,,
pyramid_t80_a90.0_b2.0,,,,,,,,,
Summary,raw,quality,coverage,comprehension,,,,,
D0608.M.250.H.3,12,0.5,0.142857143,0.321428571,,,,0.314926856,
D0608.M.250.H.14,21,0.75,0.25,0.5,,,,,
D0608.M.250.H.17,7,0.4375,0.083333333,0.260416667,,,,,
D0608.M.250.H.10,18,0.5625,0.214285714,0.388392857,,,,,
D0608.M.250.H.25,9,0.75,0.107142857,0.428571429,,,,,
D0608.M.250.H.24,23,0.575,0.273809524,0.424404762,,,,,
D0608.M.250.H.5,22,0.55,0.261904762,0.405952381,,,,,
D0608.M.250.H.28,15,0.625,0.178571429,0.401785714,,,,,
D0608.M.250.H.27,17,0.607142857,0.202380952,0.404761905,,,,,
D0608.M.250.H.1,11,0.458333333,0.130952381,0.294642857,,,,,
D0608.M.250.H.35,13,0.541666667,0.154761905,0.348214286,,,,,
D0608.M.250.H.23,20,0.555555556,0.238095238,0.396825397,,,,,
D0608.M.250.H.2,19,0.678571429,0.226190476,0.452380952,,,,,
D0608.M.250.H.29,13,0.40625,0.154761905,0.280505952,,,,,
D0608.M.250.H.22,17,0.85,0.202380952,0.526190476,,,,,
D0608.M.250.H.33,11,0.6875,0.130952381,0.40922619,,,,,
D0608.M.250.H.19,10,0.5,0.119047619,0.30952381,,,,,
D0608.M.250.H.6,12,0.6,0.142857143,0.371428571,,,,,
D0608.M.250.H.18,7,0.583333333,0.083333333,0.333333333,,,,,
pyramid_t80_a120.0_b1.5,,,,,,,,,
Summary,raw,quality,coverage,comprehension,,,,,
D0608.M.250.H.3,5,0.208333333,0.054347826,0.13134058,,16,,0.08469631,
D0608.M.250.H.14,15,0.625,0.163043478,0.394021739,,10,,,
D0608.M.250.H.17,4,0.2,0.043478261,0.12173913,,7,,,
D0608.M.250.H.10,15,0.535714286,0.163043478,0.349378882,,25,,,
D0608.M.250.H.25,8,0.5,0.086956522,0.293478261,,7,,,
D0608.M.250.H.24,22,0.6875,0.239130435,0.463315217,,7,,,
D0608.M.250.H.5,18,0.409090909,0.195652174,0.302371542,,13,,,
D0608.M.250.H.28,13,0.541666667,0.141304348,0.341485507,,4,,,
D0608.M.250.H.27,15,0.535714286,0.163043478,0.349378882,,19,,,
